campaign_id,platform,copy_review,ip_review,privacy_review,rights_review,a11y_review,format_review,dependency_review,sentinel_review,founder_review
SOC-D01,TikTok,pending,pending,pending,blocked,pending,pending,blocked,pending,blocked
SOC-D01,Instagram,pending,pending,pending,blocked,pending,pending,blocked,pending,blocked
SOC-D01,YouTube,pending,pending,pending,blocked,pending,pending,blocked,pending,blocked
SOC-D02,TikTok,pending,pending,pending,blocked,pending,pending,blocked,pending,blocked
SOC-D02,Instagram,pending,pending,pending,blocked,pending,pending,blocked,pending,blocked
SOC-D02,YouTube,pending,pending,pending,blocked,pending,pending,blocked,pending,blocked
SOC-D03,TikTok,pending,pending,pending,blocked,pending,pending,blocked,pending,blocked
SOC-D03,Instagram,pending,pending,pending,blocked,pending,pending,blocked,pending,blocked
SOC-D03,YouTube,pending,pending,pending,blocked,pending,pending,blocked,pending,blocked
SOC-D04,TikTok,pending,pending,pending,blocked,pending,pending,blocked,pending,blocked
SOC-D04,Instagram,pending,pending,pending,blocked,pending,pending,blocked,pending,blocked
SOC-D04,YouTube,pending,pending,pending,blocked,pending,pending,blocked,pending,blocked
SOC-D05,TikTok,pending,pending,pending,blocked,pending,pending,blocked,pending,blocked
SOC-D05,Instagram,pending,pending,pending,blocked,pending,pending,blocked,pending,blocked
SOC-D05,YouTube,pending,pending,pending,blocked,pending,pending,blocked,pending,blocked
SOC-D06,TikTok,pending,pending,pending,blocked,pending,pending,blocked,pending,blocked
SOC-D06,Instagram,pending,pending,pending,blocked,pending,pending,blocked,pending,blocked
SOC-D06,YouTube,pending,pending,pending,blocked,pending,pending,blocked,pending,blocked
SOC-D07,TikTok,pending,pending,pending,blocked,pending,pending,blocked,pending,blocked
SOC-D07,Instagram,pending,pending,pending,blocked,pending,pending,blocked,pending,blocked
SOC-D07,YouTube,pending,pending,pending,blocked,pending,pending,blocked,pending,blocked
SOC-D08,TikTok,pending,pending,pending,blocked,pending,pending,blocked,pending,blocked
SOC-D08,Instagram,pending,pending,pending,blocked,pending,pending,blocked,pending,blocked
SOC-D08,YouTube,pending,pending,pending,blocked,pending,pending,blocked,pending,blocked
SOC-D09,TikTok,pending,pending,pending,blocked,pending,pending,blocked,pending,blocked
SOC-D09,Instagram,pending,pending,pending,blocked,pending,pending,blocked,pending,blocked
SOC-D09,YouTube,pending,pending,pending,blocked,pending,pending,blocked,pending,blocked
SOC-D10,TikTok,pending,pending,pending,blocked,pending,pending,blocked,pending,blocked
SOC-D10,Instagram,pending,pending,pending,blocked,pending,pending,blocked,pending,blocked
SOC-D10,YouTube,pending,pending,pending,blocked,pending,pending,blocked,pending,blocked
SOC-D11,TikTok,pending,pending,pending,blocked,pending,pending,blocked,pending,blocked
SOC-D11,Instagram,pending,pending,pending,blocked,pending,pending,blocked,pending,blocked
SOC-D11,YouTube,pending,pending,pending,blocked,pending,pending,blocked,pending,blocked
SOC-D12,TikTok,pending,pending,pending,blocked,pending,pending,blocked,pending,blocked
SOC-D12,Instagram,pending,pending,pending,blocked,pending,pending,blocked,pending,blocked
SOC-D12,YouTube,pending,pending,pending,blocked,pending,pending,blocked,pending,blocked
SOC-D13,TikTok,pending,pending,pending,blocked,pending,pending,blocked,pending,blocked
SOC-D13,Instagram,pending,pending,pending,blocked,pending,pending,blocked,pending,blocked
SOC-D13,YouTube,pending,pending,pending,blocked,pending,pending,blocked,pending,blocked
SOC-D14,TikTok,pending,pending,pending,blocked,pending,pending,blocked,pending,blocked
SOC-D14,Instagram,pending,pending,pending,blocked,pending,pending,blocked,pending,blocked
SOC-D14,YouTube,pending,pending,pending,blocked,pending,pending,blocked,pending,blocked
SOC-D15,TikTok,pending,pending,pending,blocked,pending,pending,blocked,pending,blocked
SOC-D15,Instagram,pending,pending,pending,blocked,pending,pending,blocked,pending,blocked
SOC-D15,YouTube,pending,pending,pending,blocked,pending,pending,blocked,pending,blocked
SOC-D16,TikTok,pending,pending,pending,blocked,pending,pending,blocked,pending,blocked
SOC-D16,Instagram,pending,pending,pending,blocked,pending,pending,blocked,pending,blocked
SOC-D16,YouTube,pending,pending,pending,blocked,pending,pending,blocked,pending,blocked
SOC-D17,TikTok,pending,pending,pending,blocked,pending,pending,blocked,pending,blocked
SOC-D17,Instagram,pending,pending,pending,blocked,pending,pending,blocked,pending,blocked
SOC-D17,YouTube,pending,pending,pending,blocked,pending,pending,blocked,pending,blocked
SOC-D18,TikTok,pending,pending,pending,blocked,pending,pending,blocked,pending,blocked
SOC-D18,Instagram,pending,pending,pending,blocked,pending,pending,blocked,pending,blocked
SOC-D18,YouTube,pending,pending,pending,blocked,pending,pending,blocked,pending,blocked
SOC-D19,TikTok,pending,pending,pending,blocked,pending,pending,blocked,pending,blocked
SOC-D19,Instagram,pending,pending,pending,blocked,pending,pending,blocked,pending,blocked
SOC-D19,YouTube,pending,pending,pending,blocked,pending,pending,blocked,pending,blocked
SOC-D20,TikTok,pending,pending,pending,blocked,pending,pending,blocked,pending,blocked
SOC-D20,Instagram,pending,pending,pending,blocked,pending,pending,blocked,pending,blocked
SOC-D20,YouTube,pending,pending,pending,blocked,pending,pending,blocked,pending,blocked
SOC-D21,TikTok,pending,pending,pending,blocked,pending,pending,blocked,pending,blocked
SOC-D21,Instagram,pending,pending,pending,blocked,pending,pending,blocked,pending,blocked
SOC-D21,YouTube,pending,pending,pending,blocked,pending,pending,blocked,pending,blocked
SOC-D22,TikTok,pending,pending,pending,blocked,pending,pending,blocked,pending,blocked
SOC-D22,Instagram,pending,pending,pending,blocked,pending,pending,blocked,pending,blocked
SOC-D22,YouTube,pending,pending,pending,blocked,pending,pending,blocked,pending,blocked
SOC-D23,TikTok,pending,pending,pending,blocked,pending,pending,blocked,pending,blocked
SOC-D23,Instagram,pending,pending,pending,blocked,pending,pending,blocked,pending,blocked
SOC-D23,YouTube,pending,pending,pending,blocked,pending,pending,blocked,pending,blocked
SOC-D24,TikTok,pending,pending,pending,blocked,pending,pending,blocked,pending,blocked
SOC-D24,Instagram,pending,pending,pending,blocked,pending,pending,blocked,pending,blocked
SOC-D24,YouTube,pending,pending,pending,blocked,pending,pending,blocked,pending,blocked
SOC-D25,TikTok,pending,pending,pending,blocked,pending,pending,blocked,pending,blocked
SOC-D25,Instagram,pending,pending,pending,blocked,pending,pending,blocked,pending,blocked
SOC-D25,YouTube,pending,pending,pending,blocked,pending,pending,blocked,pending,blocked
SOC-D26,TikTok,pending,pending,pending,blocked,pending,pending,blocked,pending,blocked
SOC-D26,Instagram,pending,pending,pending,blocked,pending,pending,blocked,pending,blocked
SOC-D26,YouTube,pending,pending,pending,blocked,pending,pending,blocked,pending,blocked
